barracks_status_dire,barracks_status_radiant,dire_score,duration,first_blood_time,radiant_score,radiant_win,tower_status_dire,tower_status_radiant,dire_win
0,6,16,33.4,3.4,37,1.0,0,10,0.0
4,4,43,37.4,1.4,35,0.0,7,3,1.0
6,0,31,30.5,0.0,15,0.0,11,0,1.0
6,0,48,34.8,2.0,16,0.0,9,0,1.0
2,6,21,34.7,0.2,53,1.0,1,8,0.0
5,0,42,41.0,5.1,20,0.0,6,0,1.0
0,6,7,21.4,2.7,44,1.0,0,11,0.0
2,6,21,34.4,1.1,39,1.0,1,8,0.0
0,6,23,27.6,2.9,45,1.0,0,10,0.0
6,0,61,37.9,0.3,36,0.0,8,0,1.0
6,2,31,38.1,2.2,24,0.0,9,1,1.0
0,6,42,53.7,4.1,49,1.0,0,6,0.0
6,0,52,35.1,2.9,14,0.0,9,0,1.0
6,3,40,44.1,0.3,31,0.0,7,1,1.0
2,6,20,34.1,3.2,35,1.0,2,8,0.0
6,0,51,39.0,0.1,25,0.0,9,0,1.0
0,6,43,52.0,2.2,55,1.0,0,6,0.0
2,6,24,45.5,0.0,40,1.0,2,7,0.0
0,6,7,34.2,0.0,49,1.0,0,11,0.0
0,6,21,32.4,1.2,34,1.0,0,11,0.0
2,6,39,47.6,2.0,49,1.0,0,6,0.0
6,0,49,40.4,0.2,32,0.0,7,0,1.0
0,6,34,35.4,0.2,44,1.0,0,7,0.0
2,6,53,39.7,0.4,61,1.0,2,7,0.0
3,4,42,36.5,0.0,52,0.0,3,4,1.0
6,2,48,32.5,2.4,31,0.0,8,1,1.0
0,6,23,34.5,0.5,40,1.0,0,8,0.0
0,0,53,70.0,0.2,64,1.0,0,2,0.0
1,6,44,59.6,0.4,56,1.0,0,4,0.0
2,6,29,36.6,1.6,44,1.0,0,7,0.0
4,6,14,32.1,0.0,49,1.0,3,9,0.0
2,6,47,46.4,0.8,52,1.0,1,6,0.0
4,6,23,30.4,0.4,38,1.0,3,8,0.0
6,2,33,28.3,0.0,19,0.0,8,1,1.0
6,0,34,28.6,1.3,18,0.0,8,0,1.0
6,0,36,32.4,3.0,13,0.0,11,0,1.0
6,4,25,36.8,5.4,17,0.0,10,2,1.0
0,5,62,63.3,0.1,51,1.0,0,5,0.0
4,2,44,52.1,4.1,50,0.0,3,1,1.0
0,6,23,31.2,0.1,43,1.0,0,10,0.0
4,6,14,23.4,0.0,28,1.0,2,11,0.0
6,0,32,39.8,0.6,16,0.0,7,0,1.0
2,6,18,31.6,0.1,41,1.0,2,9,0.0
0,6,22,37.7,4.8,29,1.0,0,10,0.0
6,0,25,28.2,0.1,13,0.0,6,0,1.0
4,6,14,32.3,2.3,33,1.0,3,8,0.0
4,2,46,42.3,2.2,36,1.0,3,3,0.0
6,5,34,33.9,1.2,18,0.0,7,2,1.0
